Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
SP1,13-05-2007,Valencia,Zaragoza,2,0,H,2,0,H,2006
SP1,19-05-2007,Betis,Gimnastic,1,1,D,0,0,D,2006
SP1,19-05-2007,Mallorca,Valencia,0,1,A,0,0,D,2006
SP1,19-05-2007,Zaragoza,Ath Bilbao,4,3,H,4,1,H,2006
SP1,20-05-2007,Ath Madrid,Barcelona,0,6,A,0,3,A,2006
SP1,20-05-2007,Espanol,Getafe,1,5,A,1,2,A,2006
SP1,20-05-2007,La Coruna,Sevilla,1,2,A,0,0,D,2006
SP1,20-05-2007,Levante,Osasuna,1,4,A,1,3,A,2006
SP1,20-05-2007,Recreativo,Real Madrid,2,3,A,0,1,A,2006
SP1,20-05-2007,Sociedad,Celta,3,1,H,0,1,A,2006
SP1,20-05-2007,Villarreal,Santander,2,1,H,1,0,H,2006
SP1,26-05-2007,Barcelona,Getafe,1,0,H,1,0,H,2006
SP1,26-05-2007,Real Madrid,La Coruna,3,1,H,1,0,H,2006
SP1,26-05-2007,Valencia,Villarreal,2,3,A,1,1,D,2006
SP1,27-05-2007,Ath Bilbao,Mallorca,1,0,H,0,0,D,2006
SP1,27-05-2007,Celta,Betis,2,1,H,1,1,D,2006
SP1,27-05-2007,Gimnastic,Ath Madrid,0,2,A,0,1,A,2006
SP1,27-05-2007,Osasuna,Sociedad,2,0,H,2,0,H,2006
SP1,27-05-2007,Recreativo,Espanol,0,1,A,0,0,D,2006
SP1,27-05-2007,Santander,Levante,2,3,A,1,2,A,2006
SP1,27-05-2007,Sevilla,Zaragoza,3,1,H,1,0,H,2006
SP1,09-06-2007,Ath Madrid,Celta,2,3,A,1,1,D,2006
SP1,09-06-2007,Barcelona,Espanol,2,2,D,1,1,D,2006
SP1,09-06-2007,Betis,Osasuna,0,5,A,0,1,A,2006
